restaurant_id,cuisine
res_d099821feaaf5fc3,Mithai
res_3ea430adadd84f75,Cafe
res_3ea430adadd84f75,Beverages
res_f961019a6b2498f1,South Indian
res_f961019a6b2498f1,Chinese
res_38312f6b506ca95a,Thai
res_38312f6b506ca95a,Vietnamese
res_38312f6b506ca95a,Asian
res_38312f6b506ca95a,Chinese
res_d41e2071a35755b4,Beverages
res_d41e2071a35755b4,Ice Cream
res_5e2725df58768dce,South Indian
res_5e2725df58768dce,North Indian
res_5e2725df58768dce,Chinese
res_5e2725df58768dce,Juices
res_536fc191a678cca2,Mithai
res_536fc191a678cca2,Street Food
res_4fa9c4348deb4ab4,Italian
res_4fa9c4348deb4ab4,Pizza
res_ca2166b07f2695bd,Biryani
res_d3d14db95391afc7,North Indian
res_d3d14db95391afc7,Fast Food
res_d3d14db95391afc7,Rolls
res_5b0bf470d0d04912,Bakery
res_78906e3b0b062ba9,Salad
res_78906e3b0b062ba9,Healthy Food
res_78906e3b0b062ba9,Sandwich
res_78906e3b0b062ba9,Juices
res_78906e3b0b062ba9,Burger
res_78906e3b0b062ba9,Desserts
res_78906e3b0b062ba9,Pizza
res_7d47fbfa708a0977,South Indian
res_a64436a93ae0eb8b,North Indian
res_a64436a93ae0eb8b,Chinese
res_a64436a93ae0eb8b,Biryani
res_a64436a93ae0eb8b,Kebab
res_332d0a2dadd7fab5,Street Food
res_7cc059c820019cf3,Fast Food
res_7cc059c820019cf3,Pizza
res_719a34c207a78c91,Biryani
res_719a34c207a78c91,Andhra
res_719a34c207a78c91,Hyderabadi
res_719a34c207a78c91,North Indian
res_7f90a49da8d85958,Cafe
res_7f90a49da8d85958,Burger
res_7f90a49da8d85958,Continental
res_7f90a49da8d85958,Italian
res_7f90a49da8d85958,Desserts
res_5577132dd0200b49,Beverages
res_5577132dd0200b49,Sandwich
res_6e049f08947b7465,Italian
res_560bf34087c5e51b,Fast Food
res_560bf34087c5e51b,Italian
res_560bf34087c5e51b,Beverages
res_ca4fd029facd6371,Bengali
res_ca4fd029facd6371,Chinese
res_ca4fd029facd6371,Sandwich
res_0af6e05c1d665c72,Ice Cream
res_8f489a30380ab520,South Indian
res_8f489a30380ab520,North Indian
res_8f489a30380ab520,Chinese
res_8f489a30380ab520,Biryani
res_a893d363ad186fc8,South Indian
res_d149379ade5283f9,North Indian
res_d149379ade5283f9,Street Food
res_d149379ade5283f9,Juices
res_674ad2fdb3ff9545,South Indian
res_4c21beac580f9dea,Arabian
res_843730cdb2a7105e,North Indian
res_b9d556b53a4150b0,South Indian
res_839bfa82ce774d98,North Indian
res_839bfa82ce774d98,Chinese
res_839bfa82ce774d98,Beverages
res_93fae6663bc7a612,Bbq
res_93fae6663bc7a612,Arabian
res_93fae6663bc7a612,Rolls
res_93fae6663bc7a612,Chinese
res_93fae6663bc7a612,North Indian
res_93fae6663bc7a612,Juices
res_93fae6663bc7a612,Kebab
res_93fae6663bc7a612,Desserts
res_4a74ce5c071d68f1,South Indian
res_4a74ce5c071d68f1,North Indian
res_4a74ce5c071d68f1,Chinese
res_4a74ce5c071d68f1,Street Food
res_b5a17675b9ab8962,South Indian
res_fcd5b3adc56d732d,South Indian
res_9510f4c1c080d1fb,Pizza
res_9510f4c1c080d1fb,Fast Food
res_590378ec0b01b77d,Mangalorean
res_590378ec0b01b77d,Seafood
res_590378ec0b01b77d,Chinese
res_590378ec0b01b77d,Biryani
res_a95c424aca5f5d2a,Fast Food
res_c125df1fbd13bffa,Continental
res_c125df1fbd13bffa,Fast Food
res_c125df1fbd13bffa,Street Food
res_c125df1fbd13bffa,Momos
res_d0c2c69786ccb424,Street Food
res_d0c2c69786ccb424,Fast Food
res_76cbb9fe3f722ff5,Pizza
res_76cbb9fe3f722ff5,Sandwich
res_76cbb9fe3f722ff5,Burger
res_76cbb9fe3f722ff5,Fast Food
res_0fac37fa9c532ebc,North Indian
res_1f2699cff3d4a5d7,North Indian
res_1f2699cff3d4a5d7,Chinese
res_1f2699cff3d4a5d7,Bbq
res_a7657049c4ee3417,Chinese
res_a7657049c4ee3417,Fast Food
res_3f474378ea3ace73,North Indian
res_3f474378ea3ace73,Chinese
res_3f474378ea3ace73,Continental
res_50caa85e0fbb0074,North Indian
res_50caa85e0fbb0074,Chinese
res_1d4efc0a37157828,Vietnamese
res_650e98f6210d08ec,Fast Food
res_650e98f6210d08ec,Street Food
res_99bcd9b3c35310dc,North Indian
res_8ec4bedaed73afbb,North Indian
res_8ec4bedaed73afbb,Chinese
res_8ec4bedaed73afbb,Biryani
res_8ec4bedaed73afbb,Kebab
res_6cb0c88a7237f5c7,Italian
res_6cb0c88a7237f5c7,Salad
res_07c3e9094e0e5f03,North Indian
res_07c3e9094e0e5f03,Chinese
res_23c46dd540f83e22,Desserts
res_23c46dd540f83e22,Ice Cream
res_b5f5e73f27b0d10a,Andhra
res_b5f5e73f27b0d10a,Seafood
res_b5f5e73f27b0d10a,North Indian
res_b5f5e73f27b0d10a,Chinese
res_f90a67b7a08c9a85,Mangalorean
res_f90a67b7a08c9a85,Seafood
res_f90a67b7a08c9a85,South Indian
res_327123778e8e13ea,Andhra
res_3384da4d7419605f,South Indian
res_3384da4d7419605f,Biryani
res_3384da4d7419605f,Chinese
res_3384da4d7419605f,North Indian
res_828e36174de37476,South Indian
res_828e36174de37476,Arabian
res_828e36174de37476,Chinese
res_828e36174de37476,North Indian
res_828e36174de37476,Seafood
res_828e36174de37476,Mangalorean
res_e084b7faa3fd6e7d,South Indian
res_b52c51deb239dc52,Beverages
res_b52c51deb239dc52,Tea
res_86b55aed52d94b64,North Indian
res_86b55aed52d94b64,Street Food
res_d6d65a010cbad122,Pizza
res_d6d65a010cbad122,Italian
res_faee04910eedf247,Cafe
res_faee04910eedf247,Burger
res_faee04910eedf247,Beverages
res_fecba9cb0b0bda72,South Indian
res_fecba9cb0b0bda72,Mangalorean
res_812298646fcd630d,South Indian
res_3cf8abe8ea19890d,North Indian
res_3cf8abe8ea19890d,Chinese
res_3cf8abe8ea19890d,South Indian
res_3cf8abe8ea19890d,Fast Food
res_3cf8abe8ea19890d,Juices
res_a769564bbf46d69f,Andhra
res_a769564bbf46d69f,South Indian
res_a769564bbf46d69f,Biryani
res_a769564bbf46d69f,North Indian
res_dcc0e3d24cb628b2,Fast Food
res_dcc0e3d24cb628b2,Street Food
res_aba78cbb7ba90024,Desserts
res_29f4d2f527f709eb,South Indian
res_4c75ffb173353eab,Bakery
res_8e3de7ebf3849d2d,Street Food
res_8c1ac92d1ffd43ef,South Indian
res_8c1ac92d1ffd43ef,North Indian
res_9592e6aaeaaa8bbd,North Indian
res_9592e6aaeaaa8bbd,Chinese
res_9592e6aaeaaa8bbd,Biryani
res_9592e6aaeaaa8bbd,Andhra
res_9592e6aaeaaa8bbd,Mangalorean
res_c2ab4b5442d130e5,Mithai
res_c2ab4b5442d130e5,Desserts
res_d2cee52b2b4c9d83,Juices
res_d2cee52b2b4c9d83,Beverages
res_e7056438a1c97c43,Salad
res_e7056438a1c97c43,Fast Food
res_663a6ea737288376,North Indian
res_663a6ea737288376,Chinese
res_d73f633ed5f9548c,Juices
res_d73f633ed5f9548c,Desserts
res_7b8a7e89f4b57cec,Cafe
res_7b8a7e89f4b57cec,Fast Food
res_4bf7bf38ef8374c4,South Indian
res_4bf7bf38ef8374c4,North Indian
res_4bf7bf38ef8374c4,Chinese
res_4bf7bf38ef8374c4,Street Food
res_c612c70ec6e13e4b,South Indian
res_c612c70ec6e13e4b,North Indian
res_c612c70ec6e13e4b,Chinese
res_0d5ecd6b726a1458,North Indian
res_0d5ecd6b726a1458,Chinese
res_1b665937695efa3a,North Indian
res_1b665937695efa3a,Chinese
res_c22140cb562d07ae,Seafood
res_c22140cb562d07ae,Biryani
res_c22140cb562d07ae,South Indian
res_c22140cb562d07ae,North Indian
res_c22140cb562d07ae,Chinese
res_fdfbdfa607312c4d,South Indian
res_fdfbdfa607312c4d,Mangalorean
res_eaff4aff47533d90,South Indian
res_eaff4aff47533d90,Beverages
res_a8d731e164db99e0,Fast Food
res_a8d731e164db99e0,Rolls
res_7e84aeeaa158891a,North Indian
res_7e84aeeaa158891a,Chinese
res_7e84aeeaa158891a,South Indian
res_7e84aeeaa158891a,Fast Food
res_78b818671376e58c,Fast Food
res_4af6a40b303cc119,North Indian
res_4af6a40b303cc119,Chinese
res_4af6a40b303cc119,Rolls
res_c2cb3b63b869621b,Beverages
res_c2cb3b63b869621b,Fast Food
res_f08ea2b6541af674,Desserts
res_201051895ca87571,Desserts
res_201051895ca87571,Mithai
res_fb4b4f7e2c5fe520,North Indian
res_fb4b4f7e2c5fe520,Chinese
res_fb4b4f7e2c5fe520,South Indian
res_151652bd6bd86afa,Fast Food
res_6b869e941b056e75,Bakery
res_6b869e941b056e75,Desserts
res_de84ab9e7029707e,South Indian
res_de84ab9e7029707e,Fast Food
res_6f0ff9cd96f4633a,Biryani
res_6f0ff9cd96f4633a,North Indian
res_6f0ff9cd96f4633a,Seafood
res_6f0ff9cd96f4633a,Andhra
res_485a0d8c7418d07c,South Indian
res_485a0d8c7418d07c,Chinese
res_485a0d8c7418d07c,Street Food
res_485a0d8c7418d07c,Juices
res_dcb5a96aed3aca9d,North Indian
res_dcb5a96aed3aca9d,Afghani
res_dcb5a96aed3aca9d,Mughlai
res_fff7e0d5e4ffa4fa,Italian
res_fff7e0d5e4ffa4fa,Chinese
res_fff7e0d5e4ffa4fa,Street Food
res_4fd11c9f1c366fd9,South Indian
res_4fd11c9f1c366fd9,North Indian
res_517647db271df3f1,Pizza
res_66fc789e49747485,Desserts
res_66fc789e49747485,Ice Cream
res_ca035110e24d6d52,South Indian
res_7da90381e1a88b99,Chinese
res_7da90381e1a88b99,Thai
res_7da90381e1a88b99,Momos
res_85232086a16526c4,South Indian
res_85232086a16526c4,North Indian
res_85232086a16526c4,Chinese
res_dd6dfdfd7df7f73b,South Indian
res_dd6dfdfd7df7f73b,Healthy Food
res_d4e3f7fc4cb4aa09,Street Food
res_d4e3f7fc4cb4aa09,Fast Food
res_cffdf4258160a56c,South Indian
res_02a2a31d5be64f04,Cafe
res_02a2a31d5be64f04,American
res_02a2a31d5be64f04,Pizza
res_263f147626872cc6,South Indian
res_263f147626872cc6,Fast Food
res_c78883d6bdb32bce,South Indian
res_df2caaabad299fdb,Street Food
res_df2caaabad299fdb,North Indian
res_df2caaabad299fdb,South Indian
res_446d4572bcfa62fa,North Indian
res_446d4572bcfa62fa,South Indian
res_446d4572bcfa62fa,Biryani
res_446d4572bcfa62fa,Beverages
res_93345b750312316b,South Indian
res_93345b750312316b,North Indian
res_93345b750312316b,Chinese
res_93345b750312316b,Street Food
res_32fa786d65faa789,North Indian
res_32fa786d65faa789,Chinese
res_32fa786d65faa789,Rolls
res_bf3e533916ecc97c,South Indian
res_2f5d64c5ec0b4a02,South Indian
res_2f5d64c5ec0b4a02,North Indian
res_2f5d64c5ec0b4a02,Chinese
res_6f6e1b950040de5d,South Indian
res_6f6e1b950040de5d,Street Food
res_816fa8416e8ee5d6,Seafood
res_816fa8416e8ee5d6,Biryani
res_816fa8416e8ee5d6,Beverages
res_816fa8416e8ee5d6,South Indian
res_816fa8416e8ee5d6,North Indian
res_816fa8416e8ee5d6,Kebab
res_7f97c320228ed970,North Indian
res_7f97c320228ed970,Fast Food
res_b307d9d12a9b9263,Cafe
res_b307d9d12a9b9263,Continental
res_b307d9d12a9b9263,Beverages
res_b307d9d12a9b9263,Desserts
res_706fd47ddbba3e1e,North Indian
res_706fd47ddbba3e1e,Chinese
res_706fd47ddbba3e1e,Rolls
res_706fd47ddbba3e1e,Biryani
res_706fd47ddbba3e1e,Kebab
res_5b521ba4bef1071c,South Indian
res_5b521ba4bef1071c,North Indian
res_5b521ba4bef1071c,Chinese
res_5b521ba4bef1071c,Beverages
res_bb6a920560eaca7d,Pizza
res_bb6a920560eaca7d,Italian
res_bb6a920560eaca7d,Salad
res_e8ba78585e9c8dc5,Fast Food
res_e8ba78585e9c8dc5,Chinese
res_e8ba78585e9c8dc5,Rolls
res_ed914e5bf3538dc3,Fast Food
res_ed914e5bf3538dc3,Chinese
res_3ff242178e4e0605,Mexican
res_3ff242178e4e0605,Italian
res_be41f958816d162b,North Indian
res_be41f958816d162b,Chinese
res_922b8be37c0020c3,North Indian
res_922b8be37c0020c3,Chinese
res_9d85dbab827a800b,Ice Cream
res_9d85dbab827a800b,Desserts
res_9d85dbab827a800b,Beverages
res_bbe64353e2663574,South Indian
